Category,Action Link,WIS International
Hourly rate,$35.00,$52.00
Setup/management fee,"Min. $2,000 per project (scoped by project)",$250.00 per project
Travel,"TBD (local reps within 30 mi; quoted by project)","Included (first 40 mi); +$4/hr surcharge 41-80 mi"
Deposit required,Not specified,"$10,000 upon signing"
Minimum charge,Not specified,"$1,500 per project"
Cancellation fee,Not specified,"$1,500 (<30 business days notice)"
Staffing lead time,6-8 weeks notice required,Not specified
Pre-project site visit,Not specified,"Free, 7-14 days before project"
Equipment,Amazon-provided,Amazon-provided
Tagging pace assumption,4 sec/item,Not specified
Visual merchandising,Not included (available on request),Not specified
