FirstSeen,LastSeen,ASCII,RSSI
8/11/2025 7:37,8/11/2025 7:37,,-43
8/11/2025 7:37,8/11/2025 7:37,,-59
8/11/2025 7:38,8/11/2025 7:38,,-46
8/11/2025 7:38,8/11/2025 7:38,,-55
8/11/2025 7:39,8/11/2025 7:39,,-52
8/11/2025 7:39,8/11/2025 7:39,,-38
8/11/2025 7:40,8/11/2025 7:40,,-53
8/11/2025 7:40,8/11/2025 7:40,,-37
8/11/2025 7:41,8/11/2025 7:41,,-40
8/11/2025 7:41,8/11/2025 7:41,,-49
8/11/2025 7:42,8/11/2025 7:42,,-55
8/11/2025 7:42,8/11/2025 7:42,,-37
8/11/2025 7:43,8/11/2025 7:43,,-61
8/11/2025 7:43,8/11/2025 7:43,,-34
8/11/2025 7:43,8/11/2025 7:43,,-53
8/11/2025 7:43,8/11/2025 7:43,,-45
8/11/2025 7:44,8/11/2025 7:44,,-38
8/11/2025 7:44,8/11/2025 7:44,,-65
8/11/2025 7:45,8/11/2025 7:45,,-52
8/11/2025 7:45,8/11/2025 7:45,,-46
8/11/2025 7:46,8/11/2025 7:46,,-53
8/11/2025 7:46,8/11/2025 7:46,,-50
8/11/2025 7:47,8/11/2025 7:47,,-53
8/11/2025 7:47,8/11/2025 7:47,,-40
8/11/2025 7:48,8/11/2025 7:48,,-56
8/11/2025 7:48,8/11/2025 7:48,,-36
8/11/2025 7:49,8/11/2025 7:49,,-51
8/11/2025 7:49,8/11/2025 7:49,,-53
8/11/2025 7:50,8/11/2025 7:50,,-55
8/11/2025 7:50,8/11/2025 7:50,,-39
8/11/2025 7:51,8/11/2025 7:51,,-52
8/11/2025 7:51,8/11/2025 7:51,,-36
8/11/2025 7:52,8/11/2025 7:52,,-59
8/11/2025 7:52,8/11/2025 7:52,,-39
8/11/2025 7:53,8/11/2025 7:53,,-34
8/11/2025 7:53,8/11/2025 7:53,,-59
8/11/2025 7:54,8/11/2025 7:54,,-43
8/11/2025 7:54,8/11/2025 7:54,,-38
8/11/2025 7:55,8/11/2025 7:55,,-55
8/11/2025 7:55,8/11/2025 7:55,,-41
8/11/2025 7:55,8/11/2025 7:55,,-37
8/11/2025 7:55,8/11/2025 7:55,,-56
8/11/2025 7:56,8/11/2025 7:56,,-52
8/11/2025 7:56,8/11/2025 7:56,,-46
8/11/2025 7:57,8/11/2025 7:57,,-52
8/11/2025 7:57,8/11/2025 7:57,,-34
8/11/2025 7:58,8/11/2025 7:58,,-46
8/11/2025 7:58,8/11/2025 7:58,,-60
8/11/2025 7:59,8/11/2025 7:59,,-54
8/11/2025 7:59,8/11/2025 7:59,,-44
